FID,osmid,y,x,street_cou,ref,highway
34200,826171421.000000000000000,31.306378800000001,121.506128000000004,4.000000000000000, ,traffic_signals
34201,826171425.000000000000000,31.306825000000000,121.505922699999999,3.000000000000000, , 
34202,826171690.000000000000000,31.307631600000001,121.506857199999999,3.000000000000000, , 
34203,826173462.000000000000000,31.306817400000000,121.504515999999995,3.000000000000000, , 
34204,826201961.000000000000000,31.310897600000001,121.639772500000007,3.000000000000000,18,motorway_junction
34205,826203191.000000000000000,31.300883299999999,121.639966099999995,3.000000000000000,18,motorway_junction
34206,826203998.000000000000000,31.303585099999999,121.640510899999995,3.000000000000000, , 
34207,826204887.000000000000000,31.306336099999999,121.641827800000002,3.000000000000000, , 
34208,826204891.000000000000000,31.306172499999999,121.646492699999996,3.000000000000000,18,motorway_junction
34209,826206588.000000000000000,31.308679500000000,121.639627099999998,3.000000000000000, , 
34210,826207318.000000000000000,31.305593300000002,121.642899999999997,3.000000000000000, , 
34211,826219830.000000000000000,31.356842700000001,121.584151300000002,2.000000000000000, , 
34212,826219863.000000000000000,31.357714200000000,121.581007499999998,4.000000000000000, , 
34213,826219866.000000000000000,31.357740499999998,121.580878799999994,4.000000000000000, , 
34214,826221990.000000000000000,31.357255899999998,121.582523899999998,3.000000000000000, , 
34215,826222113.000000000000000,31.356938299999999,121.581891799999994,3.000000000000000, , 
34216,826223387.000000000000000,31.357103800000001,121.583053800000002,3.000000000000000, , 
34217,826223583.000000000000000,31.356518099999999,121.582838899999999,3.000000000000000, , 
34218,826226387.000000000000000,31.356605600000002,121.582226199999994,3.000000000000000, , 
34219,826489411.000000000000000,31.189046000000001,121.772885299999999,3.000000000000000, ,motorway_junction
34220,826489569.000000000000000,31.162373400000000,121.802034899999995,3.000000000000000, , 
34221,826611742.000000000000000,31.305790999999999,121.626371399999996,3.000000000000000, , 
34222,826611813.000000000000000,31.307418800000001,121.630261500000003,3.000000000000000, , 
34223,826611874.000000000000000,31.305949200000001,121.626435700000002,3.000000000000000,4,motorway_junction
34224,826625640.000000000000000,31.269972700000000,121.608880900000003,3.000000000000000, , 
34225,826625643.000000000000000,31.268803999999999,121.610424300000005,4.000000000000000, , 
34226,826625646.000000000000000,31.267484799999998,121.612180100000003,3.000000000000000, , 
34227,826625649.000000000000000,31.267108300000000,121.612696499999998,3.000000000000000, , 
34228,826625652.000000000000000,31.266716400000000,121.608070999999995,3.000000000000000, , 
34229,826625670.000000000000000,31.270673100000000,121.611931600000005,3.000000000000000, , 
34230,826625676.000000000000000,31.264893399999998,121.611436200000000,1.000000000000000, , 
34231,826625681.000000000000000,31.264915700000000,121.609729999999999,1.000000000000000, , 
34232,826625758.000000000000000,31.270972199999999,121.609131899999994,4.000000000000000, , 
34233,826625760.000000000000000,31.270973099999999,121.605528199999995,3.000000000000000, , 
34234,826625834.000000000000000,31.268303800000002,121.606233500000002,4.000000000000000, , 
34235,826625839.000000000000000,31.272591599999998,121.609128999999996,4.000000000000000, , 
34236,826656833.000000000000000,31.271288299999998,121.563591299999999,1.000000000000000, , 
34237,826684485.000000000000000,31.173470500000001,121.587282900000005,3.000000000000000, , 
34238,826684501.000000000000000,31.180475399999999,121.610241299999998,3.000000000000000, , 
34239,826684516.000000000000000,31.187798999999998,121.618734300000000,3.000000000000000, , 
34240,826684523.000000000000000,31.195868000000001,121.619797000000005,3.000000000000000, , 
34241,826684651.000000000000000,31.195907800000001,121.619613099999995,3.000000000000000, , 
34242,826684672.000000000000000,31.180603000000001,121.610179099999996,3.000000000000000, , 
34243,826684688.000000000000000,31.174718200000001,121.592473799999993,3.000000000000000, , 
34244,826704248.000000000000000,31.150421399999999,121.495038800000003,3.000000000000000, ,motorway_junction
34245,826704264.000000000000000,31.153307200000000,121.516660200000004,3.000000000000000, , 
34246,826704347.000000000000000,31.166093199999999,121.565410200000002,3.000000000000000, , 
34247,826704374.000000000000000,31.153915699999999,121.518078900000006,3.000000000000000, , 
34248,827624421.000000000000000,31.297130800000001,121.494492399999999,3.000000000000000,17,motorway_junction
34249,827624451.000000000000000,31.296678400000001,121.491947800000005,3.000000000000000, , 
34250,828136890.000000000000000,31.327707300000000,121.502101800000005,4.000000000000000, ,traffic_signals
34251,828136891.000000000000000,31.327708300000001,121.502232800000002,4.000000000000000, ,traffic_signals
34252,828136894.000000000000000,31.327928900000000,121.505201700000001,4.000000000000000, ,traffic_signals
34253,828136895.000000000000000,31.319615500000001,121.510850800000000,4.000000000000000, ,traffic_signals
34254,828136896.000000000000000,31.319755799999999,121.510627200000002,4.000000000000000, ,traffic_signals
34255,828136899.000000000000000,31.321887100000001,121.507026300000007,4.000000000000000, ,traffic_signals
34256,828136905.000000000000000,31.322832900000002,121.502242499999994,4.000000000000000, ,traffic_signals
34257,828136906.000000000000000,31.322831799999999,121.502065900000005,4.000000000000000, ,traffic_signals
34258,828136907.000000000000000,31.319451500000000,121.510712299999994,4.000000000000000, ,traffic_signals
34259,828136908.000000000000000,31.318066500000000,121.513070799999994,3.000000000000000, , 
34260,828136911.000000000000000,31.330743200000001,121.505262099999996,4.000000000000000, ,traffic_signals
34261,828136912.000000000000000,31.330738199999999,121.502237100000002,4.000000000000000, ,traffic_signals
34262,828136913.000000000000000,31.330749699999998,121.502066499999998,4.000000000000000, ,traffic_signals
34263,828136915.000000000000000,31.330877600000001,121.505274799999995,3.000000000000000, ,traffic_signals
34264,828136916.000000000000000,31.330881600000001,121.502250599999996,4.000000000000000, ,traffic_signals
34265,828136917.000000000000000,31.330882599999999,121.502081300000000,4.000000000000000, ,traffic_signals
34266,828136919.000000000000000,31.322663500000001,121.502061400000002,4.000000000000000, ,traffic_signals
34267,828136920.000000000000000,31.322668300000000,121.502228799999997,4.000000000000000, ,traffic_signals
34268,828139626.000000000000000,31.330898000000001,121.511993899999993,4.000000000000000, ,traffic_signals
34269,828139628.000000000000000,31.330769199999999,121.511964300000002,4.000000000000000, ,traffic_signals
34270,828139637.000000000000000,31.324710499999998,121.510580899999994,4.000000000000000, ,traffic_signals
34271,828139646.000000000000000,31.321944700000000,121.506929400000004,4.000000000000000, ,traffic_signals
34272,828139648.000000000000000,31.321710299999999,121.506885699999998,5.000000000000000, ,traffic_signals
34273,828139652.000000000000000,31.325497200000001,121.509006600000006,3.000000000000000, ,traffic_signals
